门店ID,排名,地点名称,距离(km),配送次数
CDW22,1,成都IFS三号办公楼,0.15,4
GZW13,1,万科东荟城C区,3.33,7
GZW13,2,早喷广场,1.08,5
GZW13,3,广州开发区科技企业孵化器,3.87,4
GZW13,4,合生中央城兰翠花园,3.46,4
GZW13,5,保利罗兰国际2期,1.22,4
GZW13,6,至泰广场,0.41,4
GZW13,7,名创优品(锐丰广场店),2.28,4
GZW13,8,保利·罗兰国际4期,1.49,3
GZW13,9,科城山庄·峻森园3期,1.66,3
GZW13,10,保利·罗兰国际3期,0.87,3
GZW13,11,中集大湾区国际人才创业园,5.07,3
GZW13,12,未来家公寓(PCI未来社区科学城店),1.78,3
GZW13,13,大塱罗北花园,1.0,3
GZW13,14,香雪时光,0.13,3
GZW13,15,线坑花园,1.02,3
GZW13,16,心安国际公寓广州01店,2.35,3
GZW13,17,保利·罗兰国际4期,1.53,3
GZW13,18,爱孚森英语(萝岗奥园广场店),1.91,3
GZW13,19,新福港·鼎峰,0.81,3
GZW13,20,萝岗敏捷广场D3号楼,1.79,3
GZW13,21,保利·罗兰国际3期,0.91,3
GZW13,22,保利·罗兰国际3期,0.86,3
GZW13,23,未来家公寓(PCI未来社区科学城店),1.72,3
GZW13,24,穆兰拉面(大壮国际广场店),1.72,2
GZW13,25,广州高新技术产业开发区,0.58,2
GZW13,26,香雪时光,0.08,2
GZW13,27,暹岗花园,2.13,2
GZW13,28,深澜创意园,3.25,2
GZW13,29,科城山庄·锦泽园,1.4,2
GZW13,30,保利越秀·岭南林语花园,4.64,2
GZW13,31,科学城产业总部港,3.05,2
GZW13,32,创造者园区,4.0,2
GZW13,33,万科新里程,3.65,2
GZW13,34,保利·罗兰国际3期,0.88,2
GZW13,35,星河湾萝峰-星璟苑,4.25,2
GZW13,36,保利罗兰国际2期,1.16,2
GZW13,37,萝岗敏捷广场D2号楼,1.83,2
GZW13,38,香雪时光,0.13,2
GZW13,39,保利·罗兰国际4期,1.51,2
GZW13,40,科城山庄·锦泽园,1.64,2
GZW13,41,客家大世面(萝岗敏捷广场店),1.47,2
GZW13,42,保利·罗兰国际1期,0.89,2
GZW13,43,新福港·鼎峰,0.78,2
GZW13,44,线坑花园,1.03,2
GZW13,45,名创优品(锐丰广场店),2.21,2
GZW13,46,大塱罗北花园,1.03,2
GZW13,47,悦颜本草茶馆(宝能文化广场店),0.53,2
GZW13,48,佰合国际公寓(广州香雪地铁站萝岗奥园广场店),1.84,2
GZW13,49,燕山回迁安置房3栋,1.43,2
GZW13,50,通巴达科技产业园,3.74,2
BJW81,1,过锅瘾三汁焖锅(北投新奥购物中心店),0.23,5
BJW81,2,华馨公寓(北门),0.94,5
BJW81,3,北辰中心D座,0.69,4
BJW81,4,京版大厦D座,3.52,4
BJW81,5,国家网球中心南广场,2.71,3
BJW81,6,北辰世纪中心A座2号楼,0.53,3
BJW81,7,CHAGEE霸王茶姬(北京北辰荟购物中心店),0.61,3
BJW81,8,天和人家,1.6,3
BJW81,9,科学园社区,0.72,2
BJW81,10,天和人家,1.67,2
BJW81,11,北辰世纪中心底商,0.48,2
BJW81,12,光环电信大厦,1.22,2
BJW81,13,健康智谷,2.99,2
BJW81,14,中科院华严北里小区,1.92,2
BJW81,15,北辰中心F座,0.81,2
BJW81,16,科学园南里五区,0.89,2
BJW81,17,中国科学院奥运村科技园,1.04,2
BJW81,18,亚洲金融大厦(北门),1.17,2
BJW81,19,中鑫嘉园二期,2.45,2
BJW81,20,华亭嘉园,1.66,2
BJW81,21,北辰汇欣大厦A座,0.99,2
BJW81,22,中国共产党历史展览馆西广场,0.59,2
BJW81,23,亚洲金融大厦,1.06,2
BJW81,24,绿城·北京诚园,1.38,2
BJW81,25,北辰汇园国际公寓F座,1.19,2
BJW81,26,奥林匹克公园中心区,0.2,2
BJW81,27,华悦国际公寓(北1门),1.99,2
BJW81,28,学院国际大厦,4.22,2
BJW81,29,数字北京大厦,0.44,2
BJW81,30,中国科学院微生物研究所F座,0.87,2
BJW81,31,北京酒店式公寓(北沙滩路分店),2.03,2
BJW81,32,风林绿洲,0.87,2
BJW81,33,华仑大厦A座,3.75,1
BJW81,34,北辰中心G座,0.53,1
BJW81,35,北辰中心F座,0.66,1
BJW81,36,西奥中心A座,1.09,1
BJW81,37,中国科学院大学奥运村校区家属楼,1.37,1
BJW81,38,北沙滩7号院,2.05,1
BJW81,39,国奥村西区,1.65,1
BJW81,40,林萃西里三期东区,2.37,1
BJW81,41,启明国际大厦A座,7.06,1
BJW81,42,德国科德曼步态健康中心(北投新奥购物中心店),0.1,1
BJW81,43,五建小区,1.56,1
BJW81,44,花虎沟7号院,3.23,1
BJW81,45,健翔园社区居委会(海科创业大厦北),2.0,1
BJW81,46,老故事503文创园109号楼,0.98,1
BJW81,47,清林苑,3.67,1
BJW81,48,华亭嘉园,1.52,1
BJW81,49,龙岗安居里,4.62,1
BJW81,50,亚奥人家,1.26,1
SZW25,1,上步管理大厦,0.41,9
SZW25,2,中联电子大厦,0.85,8
SZW25,3,京基100大厦,2.18,7
SZW25,4,长泰花园,0.1,7
SZW25,5,群星广场A座,0.27,7
SZW25,6,士必达大厦,0.96,6
SZW25,7,深圳万象城(罗湖店)-2期,2.88,6
SZW25,8,美国·卡斯特兰(艺展中心店),2.2,6
SZW25,9,汇展阁大厦,3.64,5
SZW25,10,城脉中心,2.01,5
SZW25,11,上步信托大楼东座,0.97,5
SZW25,12,中信国际大厦·信悦汇,1.42,5
SZW25,13,华润·银湖蓝山,2.44,5
SZW25,14,深业上林苑,1.63,5
SZW25,15,诺德中心,2.53,5
SZW25,16,万科深南广场,4.31,5
SZW25,17,海馨苑,0.32,4
SZW25,18,世纪汇广场,1.12,4
SZW25,19,深物业·彩天怡色家园,2.41,4
SZW25,20,国速中心,2.17,4
SZW25,21,华润大厦,2.63,4
SZW25,22,福田村大门坊,2.28,4
SZW25,23,南光大厦,1.12,4
SZW25,24,恒邦壹峰,0.88,4
SZW25,25,阁林网苑,0.77,4
SZW25,26,福田村大门坊,2.32,4
SZW25,27,鹏盛村,1.64,4
SZW25,28,电子科技大厦A座,1.06,4
SZW25,29,中航凯特公寓,2.2,4
SZW25,30,南国大厦,1.79,4
SZW25,31,京基100大厦,2.17,4
SZW25,32,赛格广场,1.04,4
SZW25,33,福星花园大厦,1.74,3
SZW25,34,恒大天玺公馆,2.6,3
SZW25,35,城市主场,1.19,3
SZW25,36,万德居,2.05,3
SZW25,37,缙山府,1.92,3
SZW25,38,华润·银湖蓝山,2.37,3
SZW25,39,长盛大厦,0.01,3
SZW25,40,深圳市第二人民医院家属区,0.76,3
SZW25,41,富民外贸城,0.42,3
SZW25,42,银荔大厦,1.76,3
SZW25,43,颐园,2.86,3
SZW25,44,阁林网苑,0.81,3
SZW25,45,大滩大厦,3.48,3
SZW25,46,百花公寓,0.6,3
SZW25,47,八卦岭工业区四区南区421栋,1.58,3
SZW25,48,赛格科技园4栋中座,0.45,3
SZW25,49,地质大厦(燕南路),0.76,3
SZW25,50,银海大厦(振华路),0.76,3
BJW80,1,邮电出版大厦,1.32,24
BJW80,2,方庄六号,0.94,18
BJW80,3,芳城园三区,0.15,17
BJW80,4,紫芳园三区,0.5,15
BJW80,5,政馨园二区,2.04,15
BJW80,6,东叁金茂府南区,2.38,15
BJW80,7,泊寓(北京成寿寺店),0.81,15
BJW80,8,泊寓(北京成寿寺店),0.88,13
BJW80,9,中海城紫鑫阁,2.49,13
BJW80,10,成寿寺东里,1.56,13
BJW80,11,横一条甲18号院,1.56,13
BJW80,12,紫芳园三区,0.4,13
BJW80,13,紫芳园四区,0.56,12
BJW80,14,芳城园一区,0.43,12
BJW80,15,成寿寺小区2期,1.67,12
BJW80,16,诚至小区,1.39,11
BJW80,17,北京金茂府二期,2.53,11
BJW80,18,彩虹城,3.39,10
BJW80,19,四方景园社区,1.1,10
BJW80,20,汇馨商务酒店(北京南站刘家窑方庄地铁站店),0.81,10
BJW80,21,方庄六号,0.87,9
BJW80,22,鲁能钓鱼台美高梅别墅,2.44,9
BJW80,23,金城中心,0.77,9
BJW80,24,扑满山写字楼,2.35,9
BJW80,25,味多美(方庄购物中心店),0.71,9
BJW80,26,金茂府,2.69,9
BJW80,27,嘉业大厦2期2号楼,1.19,9
BJW80,28,方兴商厦,0.46,9
BJW80,29,北京金茂府二期,2.53,9
BJW80,30,芳星园二区甲3号院,0.16,9
BJW80,31,北京楠树酒店(宋家庄地铁站鸿禧阁大厦店),2.12,8
BJW80,32,紫芳园三区,0.41,8
BJW80,33,龙头公寓,2.54,8
BJW80,34,中海城圣朝菲,3.27,8
BJW80,35,顺四条甲20号院,1.55,8
BJW80,36,世华水岸B区东区,3.38,8
BJW80,37,首开·璞瑅公馆西区,0.61,8
BJW80,38,北京汽车大厦,2.21,8
BJW80,39,天坛府小区二期(北门),2.19,8
BJW80,40,紫芳园,0.83,8
BJW80,41,福海小区北区,4.21,8
BJW80,42,向新西里,0.87,8
BJW80,43,伟图大厦,1.91,8
BJW80,44,GOGO新世代,1.09,8
BJW80,45,尚韵轩博物馆(左安漪园小区店),0.93,8
BJW80,46,中海城风情苑北区,2.64,8
BJW80,47,北京市城市照明管理中心D座,0.54,8
BJW80,48,芳城园二区,0.4,8
BJW80,49,泊寓(北京成寿寺店),0.84,8
BJW80,50,成寿寺东里,1.66,8
SHW148,1,和顺欣苑(西区),4.03,4
SHW148,2,雪满天粗粮海鲜配(界龙生活广场店),7.59,3
SHW148,3,浦发檀府,4.54,3
SHW148,4,金爵别墅,2.86,2
SHW148,5,张江高科·集贤天地F幢,0.59,2
SHW148,6,江空间日月光中心,0.28,2
SHW148,7,礼德国际,1.04,2
SHW148,8,融创未来金融城·悦融雅筑B区,4.96,2
SHW148,9,展想中心,1.46,2
SHW148,10,集电路266弄1-12号,0.85,2
SHW148,11,张江国创中心1期,0.87,2
SHW148,12,浦发檀府,4.51,2
SHW148,13,绿城·玉兰公馆,2.08,2
SHW148,14,张江集电港10号楼,1.32,2
SHW148,15,集贤天地人才公寓·F幢B座,0.66,2
SHW148,16,浦发有家唐镇M寓公寓,4.65,2
SHW148,17,集贤中心C座,0.79,2
SHW148,18,绿波城,3.66,2
SHW148,19,浦发檀府,4.5,2
SHW148,20,阳光城(齐爱路),2.64,2
SHW148,21,[],5.44,2
SHW148,22,浦发檀府,4.6,2
SHW148,23,毕加索小镇,1.89,2
SHW148,24,紫金九号二期,4.06,1
SHW148,25,谷田稻香(唐镇阳光天地购物中心店),2.68,1
SHW148,26,创新佳苑,3.69,1
SHW148,27,融创未来金融城-悦融雅筑A区,4.51,1
SHW148,28,张江公馆,1.66,1
SHW148,29,张润大厦(北门),0.32,1
SHW148,30,星创科技广场,0.57,1
SHW148,31,上海浦东软件园Y2座,2.82,1
SHW148,32,张江光大园写字楼,0.55,1
SHW148,33,华发·半岛华庭,3.03,1
SHW148,34,星创科技广场,0.51,1
SHW148,35,MORE张江,0.98,1
SHW148,36,张江高科·集睿公寓(建设中),1.24,1
SHW148,37,张江高科·集贤天地D幢,0.73,1
SHW148,38,展想广场1号楼,0.39,1
SHW148,39,张江光大园写字楼,0.52,1
SHW148,40,国创中心,0.79,1
SHW148,41,高迪酒店公寓,0.83,1
SHW148,42,毕加索小镇,1.84,1
SHW148,43,圣御大厦,1.45,1
SHW148,44,保利金爵公寓(东南门),2.91,1
SHW148,45,涛飞国际广场B区,4.4,1
SHW148,46,小影公寓(东蒋家宅31号),1.21,1
SHW148,47,展想广场3幢,0.48,1
SHW148,48,棕榈泉花园-1至3期,2.62,1
SHW148,49,伽利略商务公馆,2.11,1
SHW148,50,中科路2500弄,2.8,1
