门店ID,数据日期,当日销售额,当日订单量
1101,2026-08-26,1069.4,106
BJBS1,2026-08-26,37039.7,538
BJBS10,2026-08-26,28220.3,357
BJBS11,2026-08-26,17872.52,246
BJBS12,2026-08-26,13758.01,188
BJBS13,2026-08-26,12248.75,177
BJBS14,2026-08-26,13544.76,217
BJBS15,2026-08-26,10163.51,120
BJBS17,2026-08-26,13188.0,188
BJBS18,2026-08-26,14551.1,215
BJBS19,2026-08-26,8575.95,119
BJBS20,2026-08-26,25089.45,339
BJBS21,2026-08-26,16223.84,217
BJBS22,2026-08-26,22491.82,317
BJBS23,2026-08-26,17733.46,252
BJBS24,2026-08-26,8942.91,142
BJBS25,2026-08-26,8673.01,128
BJBS26,2026-08-26,19125.1,295
BJBS27,2026-08-26,11239.2,179
BJBS28,2026-08-26,6441.9,100
BJBS29,2026-08-26,16805.51,239
BJBS30,2026-08-26,22296.11,306
BJBS31,2026-08-26,11912.18,187
BJBS32,2026-08-26,13300.52,188
BJBS33,2026-08-26,15998.52,240
BJBS34,2026-08-26,9468.51,148
BJBS35,2026-08-26,18295.01,217
BJBS9,2026-08-26,17485.82,249
BJLK1,2026-08-26,14356.7,116
BJLK2,2026-08-26,13610.7,111
BJLK3,2026-08-26,8247.5,92
BJLK4,2026-08-26,9193.0,74
BJW11,2026-08-26,19426.54,255
BJW15,2026-08-26,17914.58,238
BJW16,2026-08-26,19276.23,272
BJW17,2026-08-26,18854.56,274
BJW19,2026-08-26,14434.28,210
BJW20,2026-08-26,17835.39,240
BJW22,2026-08-26,6752.81,79
BJW24,2026-08-26,15273.71,172
BJW25,2026-08-26,21943.12,276
BJW26,2026-08-26,10696.32,152
BJW27,2026-08-26,14883.0,211
BJW28,2026-08-26,22044.85,285
BJW3,2026-08-26,20807.61,284
BJW30,2026-08-26,12832.61,172
BJW34,2026-08-26,21626.21,297
BJW38,2026-08-26,9836.32,117
BJW39,2026-08-26,11586.81,141
BJW40,2026-08-26,15566.08,222
BJW41,2026-08-26,12870.8,168
BJW42,2026-08-26,15552.85,208
BJW43,2026-08-26,14766.32,181
BJW45,2026-08-26,14350.68,176
BJW46,2026-08-26,17564.01,208
BJW48,2026-08-26,34100.87,412
BJW49,2026-08-26,9617.85,122
BJW5,2026-08-26,18402.7,254
BJW50,2026-08-26,8616.1,96
BJW51,2026-08-26,5634.87,85
BJW52,2026-08-26,17892.08,241
BJW53,2026-08-26,9616.06,132
BJW54,2026-08-26,8629.88,127
BJW55,2026-08-26,10207.04,132
BJW56,2026-08-26,15932.79,225
BJW57,2026-08-26,11600.13,160
BJW58,2026-08-26,9856.96,133
BJW59,2026-08-26,16168.23,195
BJW60,2026-08-26,17562.63,219
BJW61,2026-08-26,14113.53,173
