门店ID,门店名称,城市,poi_count,avg_cost,median_cost,avg_rating,top_categories,business_area,office_count,residential_count,metro_count,nearest_metro_km
GZW13,广州保利香雪时光,广州市,50,45.5,25.0,4.12,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",,10,10,10,0.05
BJW81,北京北辰萃,北京市,50,67.1,44.0,4.21,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",北辰,10,10,10,0.07
SZW25,深圳华强北茂业天地,深圳市,50,47.4,26.0,3.91,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",上步,10,10,10,0.12
BJW80,北京方庄时代LIFE店,北京市,50,51.7,36.0,4.2,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",方庄,10,10,10,0.29
SHW148,上海张江集贤,上海市,47,37.3,26.0,4.1,"中餐厅(11), 外国餐厅(10), 咖啡厅(10)",张江,10,10,10,0.6
BJPP2,北京快闪2,北京市,50,59.3,54.0,4.13,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",东坝,10,10,10,1.59
BJPP1,北京快闪1,北京市,50,61.2,57.0,4.09,"中餐厅(11), 外国餐厅(10), 休闲餐饮场所(10)",东坝,10,10,10,1.51
SUZW10,苏州中心B1店,苏州市,50,56.0,44.0,4.31,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",苏州工业园区金鸡湖中央商务区,10,10,10,0.13
SZW24,深圳坂田天安云谷,深圳市,49,64.6,28.0,3.96,"中餐厅(10), 外国餐厅(10), 休闲餐饮场所(10)",坂田,10,10,10,0.37
BJW78,北京甘家口百货店,北京市,50,89.6,31.0,4.07,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",三里河,10,10,10,0.34
GZBS3,广州ICC,广州市,50,65.6,29.0,4.24,"快餐厅(11), 中餐厅(10), 外国餐厅(10)",林和,10,10,10,0.28
SHW146,上海夏都小镇,上海市,48,79.2,48.0,4.25,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",徐泾,10,10,10,1.2
BJBS35,北京颐堤港,北京市,50,82.8,40.0,4.05,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",酒仙桥,10,10,10,0.07
GZW12,广州凯德广场云尚,广州市,50,46.1,29.0,4.13,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",白云绿地中心,10,10,10,0.12
SHBS73,上海西岸中环,上海市,50,89.4,39.0,4.32,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",西岸,10,10,10,0.66
BJW77,北京英蓝店,北京市,50,126.0,37.0,4.27,"中餐厅(11), 外国餐厅(11), 咖啡厅(10)",金融街,10,10,10,0.26
SHBS72,上海白玉兰广场2店,上海市,50,156.8,40.0,4.15,"中餐厅(12), 外国餐厅(10), 咖啡厅(10)",提篮桥,10,10,10,0.03
BJW76,北京新奥购物中心店,北京市,50,66.4,36.0,4.33,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",北辰,10,10,10,0.05
SuZW9,苏州狮山龙湖WA,苏州市,50,49.8,31.0,4.18,"中餐厅(10), 外国餐厅(10), 快餐厅(10)",龙湖·苏州狮山天街,10,10,10,0.16
