Store_ID,门店名称,品牌,城市,商圈,业态,经度,纬度,是否子店,门店状态,开店日期,门店地址
SUZW10-1,轻遇三明治（苏州中心B1店）,Wagas,苏州市,吴中区,Shopping Mall,120.6778175374179,31.318285311942446,是,已开业,2026-07-15,江苏省苏州市工业园区苏州中心5幢B1层（A)B1-56A号
SuZW9-1,轻遇三明治（苏州狮山龙湖店）,Wagas,苏州市,虎丘区,Shopping Mall,120.555436,31.29365,是,已开业,2026-07-15,江苏省苏州市虎丘区塔园路181号龙湖·苏州狮山天街 SZSSTJ-A-1F-41
CDW22,成都太古里WS,Wagas,成都市,锦江区,Shopping Mall,104.08464138160913,30.654565889251398,否,已开业,2026-07-15,中国成都市锦江区中纱帽街8号(成都太古里)地上一层1116号商铺
GZW13,广州保利香雪时光,Wagas,广州市,黄埔区,Shopping Mall,113.48010682089985,23.175494396894436,否,已开业,2026-06-30,广州市黄埔区汇星路163号一层1025号商铺
BJW81,北京北辰萃,Wagas,北京市,朝阳区,Office/BusinessPark,116.39354021987216,39.99933270562502,否,已开业,2026-06-17,北京市朝阳区天辰东路5号院1号楼1层C05号
SZW25,深圳华强北茂业天地,Wagas,深圳市,福田区,Shopping Mall,114.086339,22.545469,否,已开业,2026-05-31,广东省深圳市福田区华强北路2009号的茂业百货深圳华强店1层F01013B号铺位
BJW80,北京方庄时代LIFE店,Wagas,北京市,丰台区,Shopping Mall,116.4352064008499,39.86554631154621,否,已开业,2026-06-12,北京市丰台区方庄芳星园二区6号楼1F-PW-05
SHW148,上海张江集贤,Wagas,上海市,浦东新区,Office/BusinessPark,121.62733013492891,31.214134363874116,否,已开业,2026-06-30,上海市浦东新区盛夏路565弄一层28-1号
BJPP2,北京快闪2,Wagas,北京市,朝阳区,Street-front,116.51632477567634,39.967792901186236,否,已开业,2026-04-16,北京市朝阳区半截塔路53号（外摆区）
BJPP1,北京快闪1,Wagas,北京市,朝阳区,Street-front,116.5179886196434,39.96829800642103,否,已开业,2026-04-16,北京市朝阳区半截塔路53号
SUZW10,苏州中心B1店,Wagas,苏州市,吴中区,Shopping Mall,120.6778175374179,31.318285311942446,否,已开业,2026-05-09,江苏省苏州市工业园区苏州中心5幢B1层（A)B1-56A号
SZW24,深圳坂田天安云谷,Wagas,深圳市,龙岗区,Office/BusinessPark,114.06910810902626,22.66003003935548,否,已开业,2026-05-15,深圳市龙岗区坂田街道天安云谷产业园一 期3栋2D06/2D07-1单元
BJW78,北京甘家口百货店,Wagas,北京市,海淀区,Shopping Mall,116.33349468934327,39.92737088857658,否,已开业,2026-06-04,北京市海淀区三里河路17号“翠微百货股份甘家口店”一层1-126
GZBS3,广州ICC,Baker & Spice,广州市,天河区,Office/BusinessPark,113.326951,23.141871,否,已开业,2026-05-01,广州市天河区天河北路237、239号广州环贸中心地上第1层裙楼-102A
SHW146,上海夏都小镇,Wagas,上海市,青浦区,Shopping Mall,121.292583,31.171891,否,已开业,2026-04-29,上海市青浦区徐泾镇谢卫路1415弄18号1层、1427号1层商铺
BJBS35,北京颐堤港,Baker & Spice,北京市,朝阳区,Shopping Mall,116.49102111289156,39.96996843747863,否,已开业,2026-05-19,北京市朝阳区酒仙桥路18号北京颐堤港-1层LG35单元
GZW12,广州凯德广场云尚,Wagas,广州市,白云区,Shopping Mall,113.269211,23.180789,否,已开业,2026-03-04,广州市白云区云城西路890号凯德广场云尚1层10B/10C号
SHBS73,上海西岸中环,Baker & Spice,上海市,徐汇区,Shopping Mall,121.468586,31.188373,否,已开业,2026-04-29,上海市徐汇区大木桥路900号地下1层B-B1-05号商铺
BJW77,北京英蓝店,Wagas,北京市,西城区,Office/BusinessPark,116.35775762245053,39.92057539184864,否,已开业,2026-02-26,北京市西城区金融大街7号北京英蓝国际金融中心商场地下一层 B110&B117单元
SHBS72,上海白玉兰广场2店,Baker & Spice,上海市,虹口区,Shopping Mall,121.49822551284406,31.24960943545922,否,已开业,2026-03-27,上海市虹口区东长治路588号上海白玉兰广场商场 L1 楼层14A&14B商铺
