门店ID,排名,地点名称,距离(km),配送次数,纬度,经度
CDW22,1,成都IFS三号办公楼,0.15,4,30.6543,104.0831
GZW13,1,万科东荟城C区,3.33,10,23.1556,113.5044
GZW13,2,萝岗敏捷广场D2号楼,1.83,8,23.1916,113.4837
GZW13,3,早喷广场,1.08,7,23.1703,113.4712
GZW13,4,香雪时光,0.13,7,23.1759,113.4813
GZW13,5,中集大湾区国际人才创业园,5.07,6,23.1381,113.5085
GZW13,6,,1.72,6,23.1611,113.474
GZW13,7,保利·罗兰国际4期,1.49,5,23.1675,113.4918
GZW13,8,合生中央城兰翠花园,3.46,5,23.1518,113.5021
GZW13,9,创造者园区,4.0,5,23.1519,113.5096
GZW13,10,保利·罗兰国际4期,1.53,5,23.1671,113.492
GZW13,11,爱孚森英语(萝岗奥园广场店),1.91,5,23.1737,113.4987
GZW13,12,,0.66,5,23.1814,113.4806
GZW13,13,至泰广场,0.41,5,23.1734,113.4834
GZW13,14,名创优品(锐丰广场店),2.28,5,23.1741,113.5024
GZW13,15,广州开发区科技企业孵化器,3.87,4,23.1516,113.5076
GZW13,16,保利·罗兰国际3期,0.87,4,23.1738,113.4884
GZW13,17,,1.47,4,23.1677,113.4917
GZW13,18,大塱罗北花园,1.0,4,23.1734,113.4896
GZW13,19,保利罗兰国际2期,1.22,4,23.1712,113.4911
GZW13,20,,0.13,4,23.1761,113.4812
GZW13,21,保利·罗兰国际3期,0.88,4,23.1735,113.4884
GZW13,22,星河湾萝峰-星璟苑,4.25,4,23.1777,113.5216
GZW13,23,新福港·鼎峰,0.81,4,23.1788,113.4872
GZW13,24,萝岗敏捷广场D3号楼,1.79,4,23.1914,113.4831
GZW13,25,,0.94,4,23.1708,113.4877
GZW13,26,,2.69,4,23.1562,113.4959
GZW13,27,科城山庄·峻森园3期,1.66,3,23.1877,113.4894
GZW13,28,未来家公寓(PCI未来社区科学城店),1.72,3,23.1637,113.4692
GZW13,29,广州高新技术产业开发区,0.58,3,23.1807,113.48
